doyfrac,doy,timefrac,site,chl_rfu,chl,cond,nLF cond,odo_sat,odo_satlocal,odo,salinity,spcond,pc_rfu,pc,tds,wiper,ph,ph_mv,temp,battery,cablepower
226.31,226,0.31,Green Valley 2019 - Site 8817,0.15,13.79,166.1,159.8,113.3,113.3,9.05,0.07,160.4,2.15,4.71,104,1.202,10.25,-255.9,26.841,2.57,1.6
226.32,226,0.32,Green Valley 2019 - Site 8818,0.12,13.69,165.9,159.9,113.1,113.1,9.04,0.07,160.4,2.35,4.91,104,1.195,10.25,-255.7,26.795,2.57,1.7
226.33,226,0.33,Green Valley 2019 - Site 8819,0.14,13.73,165.8,159.8,113,113,9.03,0.07,160.4,2.29,4.85,104,1.199,10.26,-256,26.773,2.57,1.6
226.34,226,0.34,Green Valley 2019 - Site 8820,0.13,13.71,165.8,159.8,112.8,112.8,9.02,0.07,160.4,2.35,4.91,104,1.208,10.26,-256.1,26.771,2.57,1.6
226.35,226,0.35,Green Valley 2019 - Site 8821,0.14,13.76,165.8,159.7,112.7,112.7,9.02,0.07,160.3,2.31,4.87,104,1.211,10.26,-256,26.777,2.57,1.6
226.36,226,0.36,Green Valley 2019 - Site 8822,0.12,13.69,165.8,159.9,112.6,112.6,9.01,0.07,160.4,2.49,5.05,104,1.202,10.25,-255.4,26.741,2.56,1.6
226.38,226,0.38,Green Valley 2019 - Site 8823,0.12,13.66,165.6,159.8,112.4,112.4,9,0.07,160.4,2.3,4.86,104,1.197,10.25,-255.3,26.725,2.57,1.6
226.39,226,0.39,Green Valley 2019 - Site 8824,0.13,13.69,165.6,159.8,112.3,112.3,8.99,0.07,160.4,2.37,4.93,104,1.198,10.24,-255.1,26.717,2.57,1.6
226.4,226,0.4,Green Valley 2019 - Site 8825,0.13,13.72,165.6,159.8,112.2,112.2,8.98,0.07,160.3,2.51,5.07,104,1.204,10.24,-255,26.709,2.57,1.6
226.41,226,0.41,Green Valley 2019 - Site 8826,0.13,13.7,165.6,159.8,112.1,112.1,8.98,0.07,160.4,2.4,4.95,104,1.21,10.24,-255.1,26.7,2.57,1.6
226.42,226,0.42,Green Valley 2019 - Site 8827,0.12,13.68,165.5,159.8,112,112,8.97,0.07,160.4,2.15,4.7,104,1.201,10.24,-254.9,26.688,2.57,1.6
226.43,226,0.43,Green Valley 2019 - Site 8828,0.14,13.74,165.6,159.9,112,112,8.97,0.07,160.4,2.54,5.1,104,1.198,10.26,-255.9,26.701,2.57,1.6
226.44,226,0.44,Green Valley 2019 - Site 8829,0.11,13.65,165.6,159.9,111.9,111.9,8.96,0.07,160.4,2.31,4.86,104,1.194,10.25,-255.7,26.701,2.57,1.6
226.45,226,0.45,Green Valley 2019 - Site 8830,0.09,13.57,165.8,160,111.9,111.9,8.96,0.07,160.6,2.05,4.61,104,1.194,10.26,-256.4,26.719,2.57,1.6
226.46,226,0.46,Green Valley 2019 - Site 8831,0.12,13.69,166,160.1,112,112,8.96,0.07,160.7,2.36,4.91,104,1.205,10.27,-256.7,26.73,2.57,1.6
226.47,226,0.47,Green Valley 2019 - Site 8832,0.11,13.64,166.1,160.2,112,112,8.96,0.07,160.7,2.3,4.85,104,1.209,10.27,-257,26.741,2.57,1.6
226.48,226,0.48,Green Valley 2019 - Site 8833,0.15,13.78,166,160.1,112,112,8.96,0.07,160.7,2.63,5.19,104,1.202,10.27,-256.6,26.731,2.57,1.6
226.49,226,0.49,Green Valley 2019 - Site 8834,0.13,13.71,166,160.1,112.1,112.1,8.97,0.07,160.7,2.19,4.75,104,1.196,10.27,-257,26.745,2.57,1.6
