doy,taxon,group,biomass,avg_gald,med_gald,mbfg,diazotrophy,heterocystous,toxin_production,motility,buoyancy,mixotrophy,p_affin,max_growth,edibility
199,Mallomonas,Chrysophyta,0,0,0,2,0,0,0,1,0,1,338,0.505,0.201
199,Merismopedia,Cyanophyta,0,0,0,7,1,0,1,0,1,0,126,1.24,0.435
199,Microcystis,Cyanophyta,106.78,9.016666667,3.75,7,0,0,1,0,1,0,9.56,0.993,0.225
199,Microcystis_Single,Cyanophyta,0,0,0,1,0,0,1,0,1,0,9.56,0.993,0.225
199,Oocystis,Chlorophyta,0,0,0,7,0,0,0,0,0,0,187,1.55,0.396
199,Pediastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,310,1.28,0.311
199,Planktolyngbya,Cyanophyta,0,0,0,3,0,0,1,0,0,0,353,1.32,0.516
199,Pseudanabaena,Cyanophyta,0.02,5.073529412,0.75,3,1,0,1,0,1,0,371,1.31,0.502
199,Schroederia,Chlorophyta,0,0,0,1,0,0,0,0,0,0,609,1.6,0.439
199,Snowella,Cyanophyta,0.09,5.75,5.75,7,0,0,1,0,0,0,353,1.32,0.516
199,Staurastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,147,0.837,0.151
199,Stephanodiscus,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,13.1,1.82,0.355
199,Trachelomonas,Euglenophyta,0,0,0,5,0,0,0,1,0,1,4630,1.22,0.483
199,Unknown.centric.bacillariophyte,Chlorophyta,0,0,0,4,0,0,0,0,0,0,621,1.62,0.427
199,Unknown.centric.chlorophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,1680,1.52,0.477
199,Unknwon.pennate.bacillariophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,621,1.62,0.427
199,Woronichinia,Cyanophyta,0,0,0,7,0,0,1,0,1,0,353,1.32,0.516
206,Aphanizomenon,Cyanophyta,0,0,0,4,1,1,1,0,1,0,47.7,0.971,0.3
206,Aphanocapsa,Cyanophyta,0,0,0,7,1,0,1,0,0,0,126,1.24,0.435
206,Aphanothece,Cyanophyta,15.89,7.361111111,0.5,7,1,1,0,0,0,0,74.5,0.974,0.279
206,Asterionella,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,105,1.5,0.23
206,Chalmydomonas,Chlorophyta,0,0,0,3,0,0,0,1,0,0,171,1.79,0.622
206,Coelastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,123,1.52,0.325
206,Cosmarium,Chlorophyta,0,0,0,4,0,0,0,0,0,0,72.3,0.946,0.162
206,Cryptomonas,Cryptophyta,0.16,14,14,5,0,0,0,1,0,1,137,1.23,0.553
206,Desmodesmus,Chlorophyta,0.004729651,3.5,3.5,4,0,0,0,0,0,0,237,1.77,0.408
206,Dolichospermum,Cyanophyta,0,0,0,3,1,1,1,0,1,0,266,1.1,0.418
206,Elakatothrix,Chlorophyta,0,0,0,1,0,0,0,0,0,0,760,1.36,0.328
206,Eudorina,Chlorophyta,0,0,0,7,0,0,0,1,0,0,32.3,1.1,0.218
206,Euglena,Euglenophyta,0,0,0,5,0,0,0,1,0,1,2670,1.14,0.375
206,Fragilaria,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,98.5,1.37,0.196
206,Komma,Cryptophyta,0,0,0,5,0,0,0,1,0,1,1900,1.58,0.837
